@RELATION interest 

@ATTRIBUTE previousWord2 {VBG,VBD,``,VBP,WDT,JJ,WP,VBZ,DT,NULL,PP,RP,NN,),(,RBR,FW,POS,TO,RB,NP,NNS,VB,AB,WRB,CC,RBS,#,VBN,EX,IN,X,MD,JJS,JJR,SYM,UH,NPS}
@ATTRIBUTE previousWord1 {VBG,VBD,``,VBP,WDT,JJ,WP,VBZ,DT,NULL,PP,RP,NN,),(,RBR,FW,POS,TO,RB,NP,NNS,VB,AB,WRB,CC,RBS,#,VBN,EX,IN,X,MD,JJS,JJR,SYM,UH,NPS}
@ATTRIBUTE nextWord1 {VBG,VBD,``,VBP,WDT,JJ,WP,VBZ,DT,NULL,PP,RP,NN,),(,RBR,FW,POS,TO,RB,NP,NNS,VB,AB,WRB,CC,RBS,#,VBN,EX,IN,X,MD,JJS,JJR,SYM,UH,NPS}
@ATTRIBUTE nextWord2 {VBG,VBD,``,VBP,WDT,JJ,WP,VBZ,DT,NULL,PP,RP,NN,),(,RBR,FW,POS,TO,RB,NP,NNS,VB,AB,WRB,CC,RBS,#,VBN,EX,IN,X,MD,JJS,JJR,SYM,UH,NPS}
@ATTRIBUTE class {1,2,3,4,5,6} 
@DATA
WDT,VBZ,IN,NN,5
RB,VBZ,IN,NN,5
),JJ,VBP,IN,3
TO,JJR,NNS,X,6
NN,IN,NN,NNS,6
NP,VBD,NNS,NP,6
NN,IN,NNS,MD,6
IN,JJR,NNS,VBP,6
VBN,NULL,IN,NN,1
JJR,JJ,NNS,IN,6
DT,VBG,IN,DT,1
IN,JJR,NNS,VBD,6
NN,DT,IN,JJ,1
VB,NULL,X,NULL,5
NP,NN,X,NULL,5
VBD,NN,RB,CC,1
NN,IN,NNS,MD,6
CC,WRB,NNS,VBP,6
TO,NP,NN,NNS,6
VB,NN,X,NULL,1
NN,JJ,NN,VBD,6
JJ,NULL,NNS,VBD,6
NN,X,NN,AB,6
VB,DT,NN,IN,6
POS,JJ,NNS,IN,6
VBZ,NULL,IN,NP,1
NN,JJR,IN,NN,1
RB,NNS,NNS,VBD,6
PP,VBN,NNS,JJ,6
CC,JJ,VBZ,NP,3
RB,JJ,IN,NP,1
NP,NULL,IN,NN,1
DT,JJ,TO,VBP,4
NN,IN,NULL,IN,1
NULL,JJ,RB,IN,4
IN,DT,NNS,DT,6
VB,IN,TO,NP,2
CC,NULL,RB,VBD,1
CC,NULL,VBD,IN,1
JJ,JJ,NNS,IN,6
JJ,NULL,NNS,IN,6
NN,JJ,CC,NN,6
VBG,JJR,X,NULL,6
VBN,NULL,NN,TO,6
VBG,DT,NN,VBG,6
AB,IN,NNS,IN,6
JJR,DT,NN,IN,6
NULL,JJ,IN,DT,4
VB,IN,WDT,NNS,5
CC,NN,IN,NP,5
NN,WRB,NNS,VBD,6
RB,VBZ,IN,NN,5
JJ,NP,NNS,X,6
RB,JJR,NNS,MD,6
AB,NN,TO,NP,5
AB,NN,IN,DT,5
VB,NULL,NNS,X,6
IN,DT,IN,JJ,4
JJ,NN,DT,NN,3
VBD,DT,X,PP,1
IN,NULL,IN,NN,1
JJ,NULL,NN,IN,6
IN,DT,NN,IN,6
NNS,CC,VB,VBN,6
IN,DT,IN,DT,6
VB,VBN,X,NULL,1
DT,JJ,NNS,NP,6
NNS,JJ,NNS,VBP,6
NNS,CC,NNS,MD,6
IN,NULL,IN,DT,3
NNS,RB,NNS,CC,6
NNS,RB,NNS,CC,6
NULL,NN,X,NULL,5
AB,IN,DT,NN,6
VBD,JJ,NNS,RB,6
WP,VBP,NNS,VBP,6
VBN,X,NNS,VB,6
CC,VBD,NNS,RP,6
DT,NN,NNS,IN,6
CC,JJ,NNS,X,6
TO,JJ,NNS,X,6
NN,VBZ,NNS,VBP,6
JJ,NN,IN,NULL,5
VBZ,JJ,IN,NNS,1
NP,NN,VBN,IN,6
VBN,NULL,IN,DT,6
NNS,CC,IN,DT,6
NN,NN,IN,NULL,5
TO,VB,NNS,IN,6
NN,VBG,X,NULL,5
AB,NN,IN,DT,5
DT,JJ,MD,VB,4
JJ,NN,X,NULL,1
NN,JJ,NNS,CC,6
NNS,NN,NNS,X,6
IN,DT,NNS,IN,6
VBG,JJR,IN,VBN,6
JJ,NNS,NN,WDT,6
DT,JJ,X,NULL,4
JJ,JJ,NNS,IN,6
IN,RB,IN,NP,2
IN,JJ,IN,NPS,1
IN,IN,NNS,X,6
AB,NN,NN,X,6
NNS,WRB,NNS,IN,6
DT,JJS,IN,NP,4
NNS,CC,NN,X,6
VBN,NN,X,NULL,6
DT,VBG,IN,DT,5
NP,NP,IN,DT,1
DT,JJ,NN,IN,6
AB,IN,NNS,JJ,6
NN,WRB,NNS,RB,6
NN,IN,NNS,X,6
RB,JJ,X,NULL,1
VBP,NN,X,NULL,1
IN,JJ,VBZ,JJ,6
IN,VBG,NNS,X,6
NN,IN,NNS,MD,6
NNS,IN,NNS,NN,6
IN,NULL,NNS,VBP,6
DT,NULL,NN,VBZ,6
AB,NN,IN,AB,6
VBP,NN,NNS,IN,6
DT,JJ,X,IN,4
TO,NULL,IN,DT,4
JJR,NP,NNS,VB,6
IN,NP,NNS,IN,6
JJ,NP,NNS,IN,6
JJ,NN,IN,DT,1
NNS,POS,IN,NN,1
NN,VBZ,IN,NN,5
CC,VBN,TO,DT,6
IN,WRB,NNS,NN,6
VBP,WRB,NNS,IN,6
CC,NN,RP,IN,5
NN,VBZ,VBG,IN,5
NULL,NULL,IN,NP,6
RB,NULL,VBN,RB,6
MD,VBP,IN,DT,5
DT,NN,IN,DT,5
DT,NN,X,NULL,5
DT,JJ,X,NULL,4
NNS,IN,NN,NNS,6
VBD,IN,NP,NP,1
NULL,NULL,VBZ,RB,4
JJ,JJ,X,NULL,3
VBP,VBG,IN,JJR,1
IN,JJ,NNS,RB,6
VBZ,JJ,NNS,TO,6
VBD,DT,IN,DT,6
NN,NN,NNS,VBP,6
IN,VBG,NNS,JJ,6
CC,DT,NNS,PP,6
NN,NULL,VBP,NP,5
NN,IN,NN,X,6
DT,JJ,NNS,X,6
VBZ,RB,IN,DT,1
TO,JJR,NNS,IN,6
IN,JJ,NNS,RB,6
DT,JJ,NN,IN,6
VBD,DT,NN,IN,6
IN,NULL,IN,NP,5
JJ,JJ,NNS,IN,6
NN,IN,IN,NULL,5
IN,NP,X,NULL,5
NN,IN,IN,NN,5
TO,VB,IN,DT,1
AB,CC,``,IN,6
IN,JJR,NNS,RB,6
VB,NULL,NN,RB,6
IN,VBN,DT,NN,6
VB,DT,NNS,IN,6
VBG,VBN,),X,6
NNS,POS,NNS,IN,6
VBG,DT,NN,IN,6
TO,VB,IN,NN,6
VB,DT,NN,TO,6
RB,VBZ,IN,NN,5
JJ,NP,IN,JJ,1
RB,NP,IN,JJ,1
IN,NULL,VBZ,VBN,1
VBG,JJ,CC,VBG,5
JJ,NULL,VBZ,DT,5
VB,JJ,IN,NULL,6
CC,IN,IN,NNS,6
NN,JJ,CC,NNS,6
DT,NN,IN,IN,5
NN,NP,NNS,WRB,6
DT,DT,IN,NN,6
AB,VBG,IN,JJ,6
AB,IN,MD,VB,6
IN,DT,DT,NNS,6
VBG,DT,NN,IN,6
TO,NN,X,NULL,5
VBD,RB,IN,NN,1
VBG,DT,NN,NN,6
VB,DT,IN,NN,6
CC,JJ,X,NULL,4
``,NULL,VBZ,IN,4
DT,JJ,IN,JJ,1
RB,JJ,IN,NN,1
IN,JJR,NNS,X,6
VBZ,VB,NNS,VB,6
IN,NP,VB,IN,5
NNS,NN,VBN,DT,4
VBN,DT,IN,DT,4
DT,JJ,IN,NN,4
IN,JJ,IN,DT,1
TO,DT,IN,DT,4
DT,NN,IN,NP,5
DT,NN,IN,NP,5
NN,VBG,TO,VBN,6
NNS,CC,IN,IN,6
NNS,IN,IN,RB,6
VBN,JJ,JJ,TO,6
NNS,POS,VBN,IN,6
VBN,JJ,IN,NP,1
NN,IN,IN,NP,1
TO,VB,NNS,TO,6
TO,JJR,NNS,IN,6
VBZ,NNS,CC,NNS,6
JJ,NULL,IN,NP,5
``,JJ,IN,NP,5
CC,JJ,NNS,NNS,6
MD,VB,IN,DT,6
TO,VBP,IN,DT,6
JJR,JJ,NNS,NULL,6
VBG,JJR,NNS,IN,6
WRB,JJ,NNS,VBD,6
NNS,CC,),VBZ,6
RP,NULL,NN,X,6
IN,JJ,IN,DT,1
JJ,JJ,NNS,IN,6
VBG,DT,IN,VBG,1
NN,CC,NN,X,6
MD,VB,CC,NN,6
JJ,NN,NN,IN,6
VB,IN,NN,NNS,6
VBG,DT,IN,JJ,4
RB,VB,RB,X,6
IN,JJ,NNS,RB,6
NN,JJ,NNS,VBP,6
NN,JJ,NNS,VBP,6
AB,NN,IN,JJ,5
NN,IN,IN,NN,5
IN,JJ,IN,DT,1
IN,NN,DT,NN,5
DT,JJS,IN,DT,4
NNS,IN,NN,CC,6
TO,NN,X,NULL,5
IN,NULL,IN,DT,5
AB,NN,IN,NP,5
CC,JJ,NNS,RB,6
NNS,IN,NULL,IN,1
NNS,VBG,IN,NN,6
NN,IN,IN,JJ,6
NN,IN,JJ,IN,6
VBN,DT,IN,VBG,1
DT,JJ,NN,VBD,6
NP,VBZ,IN,JJ,5
NN,NN,CC,JJ,5
AB,NN,CC,NP,5
TO,NN,VBD,TO,5
NN,IN,NNS,VBD,6
IN,NULL,IN,NP,1
VB,RB,NN,X,6
JJ,JJ,NNS,IN,6
IN,NN,JJ,NN,4
VBZ,JJ,IN,IN,6
MD,NN,NN,NN,6
VB,JJ,IN,DT,6
NN,CC,IN,PP,6
JJ,NN,CC,VBP,4
IN,JJ,NNS,X,3
DT,JJ,IN,NNS,3
NN,IN,IN,DT,1
DT,NN,IN,DT,5
DT,JJ,NN,CC,6
IN,DT,NNS,IN,6
IN,NN,NNS,MD,6
NN,IN,IN,NP,3
DT,JJ,IN,AB,4
VBP,DT,IN,DT,4
VB,JJ,CC,MD,3
JJ,NULL,IN,NP,5
NP,JJ,NNS,VBD,5
DT,JJ,NNS,VBN,5
NN,JJ,IN,NP,5
NP,JJ,VBZ,IN,5
JJ,NULL,WDT,VBZ,5
NNS,JJ,VBD,TO,5
JJ,JJ,NNS,IN,5
JJ,NULL,IN,NP,5
POS,JJ,VBD,AB,5
JJS,JJ,NN,IN,5
IN,JJ,IN,RB,5
NULL,JJ,NN,X,5
JJ,NULL,IN,DT,5
IN,JJ,VBN,NP,5
VBZ,JJ,NNS,IN,5
JJ,NULL,IN,AB,5
NP,JJ,VBZ,AB,5
DT,JJ,NN,IN,5
NN,CC,IN,JJ,6
NN,CC,NNS,VBP,6
NULL,NULL,VBZ,RP,1
IN,JJ,NNS,RB,6
IN,JJ,NNS,RB,6
JJ,NULL,NN,NNS,6
NULL,NULL,NNS,RB,6
NNS,CC,NN,NNS,6
CC,VB,NNS,IN,6
TO,VB,NNS,RB,6
IN,JJR,NN,CC,6
POS,NN,IN,NP,5
IN,JJ,NNS,CC,6
IN,JJ,JJ,IN,1
VB,RB,CC,DT,1
NP,JJ,IN,NP,1
VB,NP,IN,DT,1
VBZ,NULL,X,NULL,5
VBG,JJ,NNS,CC,6
CC,NN,MD,VB,5
DT,NN,RB,VB,5
NULL,NN,NN,CC,6
CC,VBN,TO,DT,6
TO,VB,NNS,IN,6
TO,JJR,NNS,CC,6
``,NULL,IN,JJ,1
JJ,CC,NNS,MD,6
VB,RP,IN,DT,1
IN,VBG,NNS,X,6
DT,JJ,VB,IN,6
NNS,CC,CC,NN,6
JJ,NULL,VBN,AB,5
IN,DT,VBN,IN,1
VB,VBG,IN,VBG,1
NN,POS,IN,VBG,1
NP,POS,IN,NP,1
VBG,JJ,IN,DT,5
DT,NN,JJ,NN,5
NNS,IN,NNS,VB,6
JJR,IN,NNS,MD,6
VB,JJ,X,NULL,3
NN,WRB,NNS,VBD,6
AB,CC,NNS,IN,6
NN,CC,VBD,``,6
NN,CC,VBN,TO,6
DT,NN,VBZ,VBN,6
TO,JJR,NNS,X,6
IN,``,NNS,VBP,6
MD,NN,NNS,TO,6
JJ,NNS,NN,TO,6
IN,DT,IN,NP,5
IN,NULL,NNS,VBN,6
NNS,CC,NN,X,6
NNS,RB,NNS,NN,6
NNS,POS,IN,NN,1
NNS,CC,NNS,IN,6
VBZ,JJ,NNS,RB,6
DT,JJ,NN,NNS,6
NULL,NULL,IN,DT,6
VBN,TO,NNS,X,6
NULL,JJ,CC,NN,3
POS,NP,VBN,AB,5
DT,NP,PP,VBZ,5
NP,POS,IN,NP,5
TO,JJR,NNS,IN,6
VBN,JJ,IN,DT,1
IN,DT,IN,DT,4
MD,VB,IN,DT,5
MD,VB,IN,DT,6
IN,JJ,NNS,NP,6
IN,VBG,NNS,IN,6
VBG,NP,IN,NULL,1
NN,IN,NNS,VB,6
JJ,JJ,NNS,IN,6
NULL,NULL,NN,VBD,6
JJ,NULL,NNS,IN,6
DT,JJ,JJR,IN,1
IN,JJ,NNS,IN,6
JJ,JJ,NNS,DT,6
NN,RB,NN,CC,6
VB,DT,X,NULL,5
VB,VBN,JJ,VBZ,1
VBG,NULL,NN,CC,6
IN,JJ,NNS,X,6
IN,RB,NNS,CC,6
NN,IN,RB,IN,5
JJ,NN,X,NULL,5
VBZ,VBN,IN,NP,1
NN,VBD,IN,PP,1
VBZ,DT,IN,VBG,1
RB,DT,IN,VBG,1
JJ,JJ,NNS,IN,6
AB,IN,VBN,IN,6
NN,IN,IN,JJ,5
VBG,DT,IN,NULL,4
DT,JJ,NN,VBD,6
NP,VBZ,IN,NN,5
NNS,RB,CC,NN,6
RB,JJ,NNS,CC,6
PP,VBP,NNS,MD,6
IN,NN,IN,NN,1
NULL,NULL,IN,DT,1
AB,NN,IN,NPS,5
NN,IN,NNS,CC,6
MD,VB,NNS,TO,6
NN,IN,NNS,MD,6
NNS,CC,NN,X,6
NNS,IN,NNS,VB,6
IN,JJ,RB,RB,1
VB,DT,NN,IN,6
IN,NULL,IN,JJ,5
TO,VB,NNS,VB,6
IN,JJR,NNS,CC,6
AB,NN,IN,DT,5
VBN,RP,IN,NNS,1
DT,JJ,IN,NP,4
NN,IN,NNS,RBR,6
TO,NN,NNS,RB,6
VB,IN,NNS,CC,6
RB,JJ,RB,IN,1
NULL,NULL,MD,VBP,1
JJ,JJ,NNS,X,6
IN,NN,NNS,TO,6
VB,NULL,IN,DT,5
AB,NN,IN,DT,5
VBP,NN,IN,DT,5
VBG,NN,X,NULL,5
JJ,NN,DT,NN,3
AB,NN,IN,NP,5
RB,IN,IN,``,1
VBN,NULL,X,NULL,4
IN,DT,IN,VBG,4
IN,NP,VBD,JJ,1
JJ,NP,X,NULL,1
VBD,RB,IN,NP,1
NP,NN,IN,DT,1
VBN,NN,IN,JJ,1
NP,VBZ,IN,NNS,5
VBG,NULL,X,NULL,4
JJ,NN,X,NULL,1
JJ,NN,VBD,JJ,1
JJ,NN,VBD,TO,1
NNS,IN,NULL,WDT,5
IN,JJ,IN,DT,2
X,NULL,VBP,VBN,5
``,JJ,NULL,IN,1
DT,NP,IN,NN,4
IN,VBP,IN,JJR,6
VBP,NULL,IN,NN,1
JJ,NP,IN,NP,1
NN,NULL,IN,NP,1
NN,IN,``,MD,6
DT,JJ,NN,VBZ,3
``,NP,NULL,MD,4
JJ,JJ,X,NULL,3
TO,NULL,IN,NN,1
RB,NN,VBD,JJ,1
CC,NN,CC,RB,5
IN,NP,MD,VB,1
NP,POS,IN,NP,4
JJ,JJ,IN,DT,5
NNS,IN,X,NULL,4
NN,IN,IN,DT,4
NN,IN,NULL,VBZ,4
NN,IN,X,NN,4
NNS,IN,TO,VB,4
NNS,IN,X,NULL,4
NN,IN,CC,NN,4
NNS,IN,RB,VB,4
NNS,IN,X,NULL,4
NN,IN,NN,IN,4
NN,IN,NULL,PP,4
VB,IN,NN,VBG,6
IN,JJ,IN,JJ,1
WDT,VBZ,IN,NN,5
IN,JJ,NNS,CC,6
POS,JJ,NNS,X,6
VBD,DT,X,NULL,5
DT,NULL,IN,NN,6
NN,CC,NNS,VBP,6
IN,JJ,IN,DT,6
RB,NNS,CC,JJ,6
CC,DT,IN,DT,5
NP,VBD,IN,NN,5
VBN,IN,NNS,IN,6
DT,JJ,NN,VB,6
RB,IN,NNS,VB,6
IN,NULL,NNS,NN,6
RB,JJR,VB,IN,6
RB,JJR,NN,X,6
NN,NULL,RB,VBD,1
VBG,JJ,NNS,IN,6
VBG,JJ,NNS,TO,6
VBG,IN,NNS,IN,6
RB,DT,VBZ,IN,1
NN,IN,IN,DT,1
JJ,NULL,IN,DT,5
IN,JJ,X,NULL,5
IN,JJ,VBD,TO,5
NP,JJ,VBD,AB,5
NP,JJ,VBZ,VBN,5
JJ,NULL,VBZ,DT,5
IN,JJ,JJ,IN,5
IN,JJ,IN,JJ,5
NN,JJ,NN,VBD,5
JJ,NULL,IN,NP,5
WRB,JJ,VBD,TO,5
NP,JJ,NN,NN,5
DT,JJ,NN,IN,5
VBP,VBP,NNS,IN,6
JJR,JJ,NNS,VBD,6
NNS,IN,NNS,IN,6
IN,JJ,IN,DT,6
NN,IN,NNS,MD,6
IN,JJR,NNS,CC,6
DT,JJ,NN,TO,6
IN,VBG,IN,DT,1
DT,VBG,IN,NP,5
X,``,NNS,RB,6
VBZ,VBG,NNS,VB,6
VB,JJR,IN,RB,6
WRB,NULL,NNS,VB,6
VB,IN,NNS,X,6
VBZ,IN,NNS,MD,6
DT,JJ,NN,CC,6
VBZ,IN,NNS,MD,6
CC,NN,X,NULL,6
VB,NULL,IN,NULL,5
VB,NULL,IN,IN,5
NN,POS,RB,IN,5
VB,NULL,VB,VBN,4
CC,JJ,IN,DT,5
NP,POS,TO,VB,4
NULL,JJ,TO,VB,4
NP,POS,IN,DT,5
RB,DT,IN,JJ,6
VBP,DT,RB,IN,5
RB,VBP,IN,CC,5
VBZ,DT,IN,AB,5
IN,DT,VBD,RBS,5
NN,IN,IN,VBP,5
NN,VBG,VBN,AB,6
JJ,JJ,VBG,IN,4
CC,DT,IN,DT,5
NNS,CC,NN,X,6
NULL,NULL,MD,VB,6
VBZ,IN,TO,DT,2
NN,POS,NP,X,3
NN,X,IN,DT,1
IN,NP,RB,VBD,1
DT,JJ,IN,DT,5
TO,VB,NNS,X,6
IN,JJ,X,NULL,4
RB,VBZ,IN,NP,5
JJ,NN,CC,VBP,3
DT,VBG,IN,DT,5
NN,IN,NN,X,6
DT,JJR,NN,VBD,6
TO,NN,VBD,TO,5
TO,NN,X,NULL,5
VB,NN,IN,DT,1
DT,JJ,IN,NP,5
CC,JJR,NNS,X,6
AB,NN,IN,DT,5
NP,POS,IN,JJ,5
AB,NN,IN,JJ,5
IN,NP,NNS,VBZ,6
``,NP,VBZ,RB,1
RB,VBD,IN,NULL,1
NN,IN,IN,DT,1
JJ,NP,NNS,X,6
IN,JJ,NNS,VBD,6
DT,JJS,IN,NNS,4
IN,JJR,NNS,X,6
NNS,JJR,NNS,CC,6
NN,JJ,VBD,AB,5
JJ,NN,JJ,IN,1
IN,RB,NNS,MD,6
CC,NN,MD,VB,5
CC,NN,VBD,RB,5
VB,NULL,IN,AB,5
VBP,DT,IN,DT,5
NNS,IN,NULL,IN,1
JJ,JJ,NNS,IN,6
CC,JJR,NNS,X,6
VBD,X,NN,VBZ,6
JJR,JJ,NN,X,6
VBD,DT,NN,TO,6
NN,CC,NNS,VBN,6
NP,JJ,IN,NNS,5
VBZ,DT,CC,WDT,5
VBZ,DT,EX,CC,5
POS,JJS,X,NULL,4
NN,POS,X,NULL,5
RB,JJR,IN,VBG,6
NNS,JJR,NNS,CC,6
IN,JJ,VBN,TO,6
NN,JJ,NN,CC,6
WDT,VBZ,IN,NN,5
JJ,NN,NN,VBG,3
IN,JJ,NULL,IN,4
IN,NP,NNS,VBD,6
NNS,IN,IN,DT,5
VBG,IN,NNS,CC,6
NULL,NULL,JJ,NNS,6
NN,VBG,NNS,TO,6
POS,NN,IN,NP,5
DT,NN,IN,NULL,5
AB,NN,IN,NP,5
IN,JJ,NNS,CC,6
DT,JJ,X,NULL,4
DT,JJ,X,NULL,4
IN,JJR,NNS,X,6
X,JJ,NNS,JJ,6
RB,VBG,DT,NN,6
NULL,NN,VBD,RB,5
NULL,NN,IN,DT,5
NP,DT,VBP,DT,5
MD,JJR,NNS,IN,6
DT,JJS,IN,NP,4
NN,IN,IN,JJ,5
NN,IN,VBG,RB,6
IN,VBN,VBZ,JJ,6
IN,NN,NNS,DT,6
IN,RB,NNS,X,6
DT,JJR,NN,PP,6
RB,VB,IN,IN,6
NN,IN,VBZ,RB,6
DT,VBN,X,NULL,6
``,DT,NN,VBD,6
NP,POS,NN,RB,6
NULL,NULL,NN,VBD,6
IN,VBN,X,NULL,4
NNS,IN,NNS,NN,6
AB,VBG,IN,DT,6
NN,DT,IN,DT,5
DT,NN,JJ,X,5
AB,IN,NNS,X,6
JJS,JJ,IN,DT,4
JJ,NULL,NN,NN,6
NULL,NULL,NNS,IN,6
NN,CC,X,NULL,6
NULL,WRB,NNS,VBP,6
NULL,NULL,NNS,RB,6
WDT,JJ,NULL,MD,3
IN,NULL,VBP,VBG,4
VBZ,JJ,IN,NN,5
JJ,JJ,NNS,IN,6
TO,VB,IN,DT,1
IN,JJR,NN,JJR,6
IN,IN,NN,IN,6
NULL,NULL,NN,IN,6
NNS,JJ,NN,NNS,6
AB,NN,IN,NN,5
AB,NN,IN,NN,5
CC,NN,VBN,AB,5
CC,NN,CC,RB,5
VBZ,DT,IN,DT,5
IN,JJ,NULL,IN,5
DT,JJ,``,PP,5
NNS,IN,NNS,RB,6
DT,JJ,NN,IN,6
NN,IN,NNS,X,6
NN,IN,NNS,VBP,6
DT,JJ,IN,PP,4
RB,IN,JJ,NNS,6
VBD,NN,IN,VBG,1
VB,JJ,X,NULL,3
JJ,JJ,NNS,IN,6
POS,NNS,VBP,IN,5
DT,JJS,IN,NP,4
NNS,CC,IN,JJ,6
NULL,DT,IN,NNS,1
DT,NN,IN,JJ,1
WDT,VBZ,IN,JJ,5
VB,JJ,IN,DT,3
RB,VBZ,IN,NP,5
TO,NP,X,NULL,4
VBG,NULL,VBD,DT,4
CC,JJR,NNS,X,6
NP,POS,IN,DT,4
AB,NN,IN,DT,5
NNS,RB,NN,CC,6
NULL,NULL,MD,VB,6
IN,JJ,NNS,DT,6
JJ,JJ,NN,TO,6
VBD,DT,NNS,IN,6
IN,JJ,NN,IN,6
POS,JJ,NN,VBD,6
IN,DT,IN,DT,5
DT,JJ,NN,NN,6
JJ,TO,VBD,AB,6
JJ,TO,CC,VBD,6
JJ,NULL,NN,IN,6
DT,JJS,IN,NP,4
NN,IN,NNS,CC,6
VB,DT,IN,VBG,4
VBG,NP,IN,IN,1
NNS,CC,NNS,IN,6
DT,JJ,CC,RB,4
IN,VBG,NNS,X,6
VBN,NP,IN,DT,1
RB,VB,NN,NNS,6
